Linux 3.10.0-514.16.1.el7.x86_64 (b09-h18-r620.rdu.openstack.engineering.redhat.com_2.example.com) 	06/15/2017 	_x86_64_	(2 CPU)

07:03:57 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:03:58 PM     all      3.02      0.00      3.02      0.00      0.00      0.00      0.00      0.00      0.00     93.97
07:03:58 PM       0      3.03      0.00      2.02      0.00      0.00      0.00      0.00      0.00      0.00     94.95
07:03:58 PM       1      3.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00     94.00
07:03:59 PM     all      1.02      0.00      1.02      0.00      0.00      0.00      0.00      0.00      0.00     97.97
07:03:59 PM       0      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
07:03:59 PM       1      1.01      0.00      2.02      0.00      0.00      0.00      0.00      0.00      0.00     96.97
07:04:00 PM     all      2.01      0.00      1.51      0.00      0.00      0.00      0.00      0.00      0.00     96.48
07:04:00 PM       0      2.02      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     96.97
07:04:00 PM       1      2.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     96.00
07:04:01 PM     all      3.52      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     95.48
07:04:01 PM       0      2.02      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     96.97
07:04:01 PM       1      5.05      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     94.95
07:04:02 PM     all      2.02      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     96.97
07:04:02 PM       0      1.02      0.00      2.04      0.00      0.00      0.00      0.00      0.00      0.00     96.94
07:04:02 PM       1      3.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     96.00
07:04:03 PM     all      1.01      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     98.49
07:04:03 PM       0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
07:04:03 PM       1      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
07:04:04 PM     all      2.02      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     96.97
07:04:04 PM       0      2.02      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     96.97
07:04:04 PM       1      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
07:04:05 PM     all      1.01      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     98.49
07:04:05 PM       0      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:04:05 PM       1      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
07:04:06 PM     all      1.52      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.47
07:04:06 PM       0      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
07:04:06 PM       1      2.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     96.00
07:04:07 PM     all      1.01      0.00      0.51      0.00      0.00      0.00      0.00      0.00      0.00     98.48
07:04:07 PM       0      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
07:04:07 PM       1      2.02      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.98
07:04:08 PM     all     13.13      0.00     11.62      0.00      0.00      0.00      0.00      0.00      0.00     75.25
07:04:08 PM       0     14.14      0.00     10.10      0.00      0.00      0.00      0.00      0.00      0.00     75.76
07:04:08 PM       1     12.12      0.00     13.13      0.00      0.00      0.00      0.00      0.00      0.00     74.75

07:04:08 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:04:09 PM     all      3.54      0.00     12.63      0.00      0.00      0.00      0.00      0.00      0.00     83.84
07:04:09 PM       0      4.08      0.00     20.41      0.00      0.00      0.00      0.00      0.00      0.00     75.51
07:04:09 PM       1      3.00      0.00      6.00      0.00      0.00      0.00      0.00      0.00      0.00     91.00
07:04:10 PM     all      2.53      0.00      1.52      0.00      0.00      0.00      0.00      0.00      0.00     95.96
