Linux 3.10.0-514.16.1.el7.x86_64 (b10-h19-r620.rdu.openstack.engineering.redhat.com_3.example.com) 	06/13/2017 	_x86_64_	(2 CPU)

02:25:25 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:25:26 AM     all     50.25      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     48.76
02:25:26 AM       0    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:26 AM       1      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     98.99
02:25:27 AM     all     50.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:25:27 AM       0     57.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     43.00
02:25:27 AM       1     44.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     55.00
02:25:28 AM     all     50.00      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.50
02:25:28 AM       0      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
02:25:28 AM       1     99.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:29 AM     all     50.25      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     49.75
02:25:29 AM       0     99.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00
02:25:29 AM       1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
02:25:30 AM     all     50.50      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     48.50
02:25:30 AM       0     99.01      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:30 AM       1      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
02:25:31 AM     all     50.75      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     48.74
02:25:31 AM       0    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:31 AM       1      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
02:25:32 AM     all     51.50      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     47.50
02:25:32 AM       0     99.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:32 AM       1      3.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     95.00
02:25:33 AM     all     57.79      0.00      4.02      0.00      0.00      0.00      0.00      0.00      0.00     38.19
02:25:33 AM       0    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:33 AM       1     16.33      0.00      7.14      0.00      0.00      0.00      0.00      0.00      0.00     76.53
02:25:34 AM     all     51.52      0.00      0.51      0.00      0.00      0.00      0.00      0.00      0.00     47.98
02:25:34 AM       0     99.01      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:34 AM       1      3.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     96.00
02:25:35 AM     all     50.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.00
02:25:35 AM       0    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:35 AM       1      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
02:25:36 AM     all     50.50      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     48.50
02:25:36 AM       0    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:36 AM       1      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
02:25:37 AM     all     50.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.00
02:25:37 AM       0    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:37 AM       1      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
02:25:38 AM     all     50.75      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     48.74
02:25:38 AM       0     99.01      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:38 AM       1      1.98      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     97.03
02:25:39 AM     all     49.50      0.00      0.50      0.00      0.50      0.00      0.00      0.00      0.00     49.50
02:25:39 AM       0      9.09      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     90.91
02:25:39 AM       1     90.91      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00      8.08
02:25:40 AM     all     50.00      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.50
02:25:40 AM       0      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
02:25:40 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:41 AM     all     50.00      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.50
02:25:41 AM       0      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
02:25:41 AM       1     99.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:42 AM     all     50.75      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     48.74
02:25:42 AM       0      2.02      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.98
02:25:42 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:43 AM     all     50.25      0.00      0.00      0.00      0.00      0.00      0.50      0.00      0.00     49.25
02:25:43 AM       0      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
02:25:43 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:44 AM     all     49.75      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:25:44 AM       0     31.31      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     67.68
02:25:44 AM       1     68.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     31.00
02:25:45 AM     all     50.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:25:45 AM       0    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:45 AM       1      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
Average:        all     50.78      0.00      0.75      0.00      0.03      0.00      0.03      0.00      0.00     48.42
Average:          0     64.98      0.00      0.30      0.00      0.00      0.00      0.00      0.00      0.00     34.72
Average:          1     36.65      0.00      1.15      0.00      0.00      0.00      0.00      0.00      0.00     62.20

