Linux 3.10.0-514.16.1.el7.x86_64 (b09-h15-r620.rdu.openstack.engineering.redhat.com_3.example.com) 	06/15/2017 	_x86_64_	(2 CPU)

07:03:49 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:03:50 PM     all      2.50      0.00      2.50      0.00      0.00      0.00      0.00      0.00      0.00     95.00
07:03:50 PM       0      2.02      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     96.97
07:03:50 PM       1      2.97      0.00      3.96      0.00      0.00      0.00      0.00      0.00      0.00     93.07
07:03:51 PM     all      2.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00     95.00
07:03:51 PM       0      1.98      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     96.04
07:03:51 PM       1      2.97      0.00      3.96      0.00      0.00      0.00      0.00      0.00      0.00     93.07
07:03:52 PM     all      2.49      0.50      1.99      0.00      0.00      0.00      0.00      0.00      0.00     95.02
07:03:52 PM       0      1.02      0.00      1.02      0.00      0.00      0.00      0.00      0.00      0.00     97.96
07:03:52 PM       1      3.96      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     94.06
07:03:53 PM     all      1.98      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     97.03
07:03:53 PM       0      1.98      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     96.04
07:03:53 PM       1      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:03:54 PM     all      2.00      0.00      1.50      0.00      0.00      0.00      0.00      0.00      0.00     96.50
07:03:54 PM       0      2.97      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     95.05
07:03:54 PM       1      2.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
07:03:55 PM     all      1.00      0.00      1.50      0.00      0.00      0.00      0.00      0.00      0.00     97.50
07:03:55 PM       0      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
07:03:55 PM       1      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
07:03:56 PM     all     11.00      0.00     10.50      0.00      0.00      0.00      0.00      0.00      0.00     78.50
07:03:56 PM       0     13.13      0.00     12.12      0.00      0.00      0.00      0.00      0.00      0.00     74.75
07:03:56 PM       1      8.91      0.00      7.92      0.00      0.00      0.00      0.00      0.00      0.00     83.17
07:03:57 PM     all      8.00      0.00     19.50      0.00      0.00      0.00      0.00      0.00      0.00     72.50
