Linux 3.10.0-514.16.1.el7.x86_64 (b09-h18-r620.rdu.openstack.engineering.redhat.com_2.example.com) 	06/13/2017 	_x86_64_	(2 CPU)

02:20:38 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:20:39 AM     all     51.50      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     46.50
02:20:39 AM       0     19.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00     78.00
02:20:39 AM       1     83.17      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     15.84
02:20:40 AM     all     50.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     49.00
02:20:40 AM       0     78.79      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     20.20
02:20:40 AM       1     21.21      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     77.78
02:20:41 AM     all     50.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.00
02:20:41 AM       0    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:41 AM       1      2.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
02:20:42 AM     all     50.25      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     49.75
02:20:42 AM       0     99.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:42 AM       1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
02:20:43 AM     all     50.00      0.00      0.50      0.00      0.00      0.00      0.50      0.00      0.00     49.00
02:20:43 AM       0      1.01      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.99
02:20:43 AM       1     99.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00
02:20:44 AM     all     50.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:20:44 AM       0      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
02:20:44 AM       1     99.01      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:45 AM     all     50.75      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     48.74
02:20:45 AM       0      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
02:20:45 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:46 AM     all     50.00      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.50
02:20:46 AM       0     85.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     14.00
02:20:46 AM       1     16.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     84.00
02:20:47 AM     all     50.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     49.00
02:20:47 AM       0     33.33      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     66.67
02:20:47 AM       1     66.34      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     32.67
02:20:48 AM     all     50.75      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:20:48 AM       0      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
02:20:48 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:49 AM     all     51.50      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     47.50
02:20:49 AM       0      3.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     95.00
02:20:49 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:50 AM     all     50.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:20:50 AM       0      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
02:20:50 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:51 AM     all     50.75      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     48.74
02:20:51 AM       0     83.84      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     16.16
02:20:51 AM       1     18.18      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     81.82
02:20:52 AM     all     50.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:20:52 AM       0     99.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:52 AM       1      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
02:20:53 AM     all     50.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.00
02:20:53 AM       0    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:53 AM       1      1.02      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.98
02:20:54 AM     all     50.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:20:54 AM       0     99.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:54 AM       1      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
02:20:55 AM     all     50.50      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     48.50
02:20:55 AM       0     33.33      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     65.66
02:20:55 AM       1     67.68      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     32.32
02:20:56 AM     all     50.75      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     48.74
02:20:56 AM       0      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
02:20:56 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:57 AM     all     50.25      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     48.74
02:20:57 AM       0      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
02:20:57 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:20:58 AM     all     50.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.00
02:20:58 AM       0      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
02:20:58 AM       1     99.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        all     50.48      0.00      0.65      0.00      0.00      0.00      0.03      0.00      0.00     48.85
Average:          0     42.10      0.00      0.95      0.00      0.00      0.00      0.00      0.00      0.00     56.95
Average:          1     58.82      0.00      0.35      0.00      0.00      0.00      0.05      0.00      0.00     40.78

