Linux 3.10.0-514.16.1.el7.x86_64 (b10-h19-r620.rdu.openstack.engineering.redhat.com_4.example.com) 	06/13/2017 	_x86_64_	(2 CPU)

02:25:37 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:25:38 AM     all     52.26      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     47.24
02:25:38 AM       0      5.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     94.00
02:25:38 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:39 AM     all     50.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.00
02:25:39 AM       0     34.69      0.00      1.02      0.00      0.00      0.00      0.00      0.00      0.00     64.29
02:25:39 AM       1     65.35      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     33.66
02:25:40 AM     all     50.75      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     48.74
02:25:40 AM       0      1.98      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     97.03
02:25:40 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:41 AM     all     50.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:25:41 AM       0      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     98.99
02:25:41 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:42 AM     all     50.50      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     48.50
02:25:42 AM       0      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
02:25:42 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:43 AM     all     49.75      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:25:43 AM       0      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
02:25:43 AM       1     99.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:44 AM     all     50.75      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     48.74
02:25:44 AM       0      0.99      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     97.03
02:25:44 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:45 AM     all     50.50      0.00      0.99      0.00      0.00      0.00      0.50      0.00      0.00     48.02
02:25:45 AM       0      2.02      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     96.97
02:25:45 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:46 AM     all     50.50      0.00      1.50      0.00      0.00      0.00      0.00      0.00      0.00     48.00
02:25:46 AM       0     59.41      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     38.61
02:25:46 AM       1     41.41      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     57.58
02:25:47 AM     all     50.75      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:25:47 AM       0     73.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     27.00
02:25:47 AM       1     27.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     72.00
02:25:48 AM     all     49.50      0.00      1.50      0.00      0.00      0.00      0.00      0.00      0.00     49.00
02:25:48 AM       0      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     97.98
02:25:48 AM       1     99.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:49 AM     all     50.50      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     48.50
02:25:49 AM       0     88.12      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00      9.90
02:25:49 AM       1     11.88      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     87.13
02:25:50 AM     all     50.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:25:50 AM       0     31.31      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     68.69
02:25:50 AM       1     69.00      0.00      1.00      0.00      0.00      0.00      1.00      0.00      0.00     29.00
02:25:51 AM     all     49.50      0.50      1.50      0.00      0.00      0.00      0.00      0.00      0.00     48.50
02:25:51 AM       0     49.49      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     49.49
02:25:51 AM       1     50.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00     48.00
02:25:52 AM     all     50.25      0.00      1.49      0.00      0.00      0.00      0.00      0.00      0.00     48.26
02:25:52 AM       0     20.20      0.00      1.01      0.00      0.00      0.00      0.00      0.00      0.00     78.79
02:25:52 AM       1     80.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     19.00
02:25:53 AM     all     50.25      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.25
02:25:53 AM       0     27.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     72.00
02:25:53 AM       1     72.28      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     26.73
02:25:54 AM     all     50.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     49.00
02:25:54 AM       0      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
02:25:54 AM       1    100.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:25:55 AM     all     51.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     48.00
02:25:55 AM       0     13.86      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     84.16
02:25:55 AM       1     87.88      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     12.12
02:25:56 AM     all     51.00      0.00      3.50      0.00      0.00      0.00      0.00      0.00      0.00     45.50
02:25:56 AM       0     54.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     45.00
02:25:56 AM       1     49.00      0.00      6.00      0.00      0.00      0.00      0.00      0.00      0.00     45.00
02:25:57 AM     all     49.75      0.00      1.51      0.00      0.00      0.00      0.00      0.00      0.00     48.74
02:25:57 AM       0     19.19      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     80.81
02:25:57 AM       1     80.00      0.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00     17.00
Average:        all     50.45      0.03      1.00      0.00      0.00      0.00      0.03      0.00      0.00     48.50
Average:          0     24.35      0.00      1.05      0.00      0.00      0.00      0.00      0.00      0.00     74.60
Average:          1     76.54      0.00      1.00      0.00      0.00      0.00      0.05      0.00      0.00     22.41

